European ETF Statistics ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Februar 2009,,,,,
,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,
,,02/2009,01/2009,Change (%),Market Share
iShares DJ STOXX 600 (DE),DE0002635307,36.167285898,34.119098292000004,0.060030531536064746,0.001675130882331799
iShares DJ STOXX 600 Automobiles & Parts (DE),DE0006344716,5.487117230000001,2.1480447099999997,1.5544706795232401,0.0002541423637059866
iShares DJ STOXX 600 Automobiles & Parts Swap (DE),DE000A0D8Q56,0.00460305,0.02792158,-0.8351436415847527,2.1319573798441364e-07
iShares DJ STOXX 600 Banks (DE),DE0006289341,16.349362998,33.389167918,-0.510339310097449,0.0007572402015910485
iShares DJ STOXX 600 Banks Swap (DE),DE000A0D8Q64,1.0017506999999999,2.06653057,-0.5152499970034317,4.63972756678513e-05
iShares DJ STOXX 600 Basic Resources (DE),DE0006344724,26.376208383,23.246248386,0.1346436614212989,0.0012216454766827132
iShares DJ STOXX 600 Basic Resources Swap (DE),DE000A0D8Q72,0.213141126,1.2121226159999998,-0.8241587747093071,9.871884870335732e-06
iShares DJ STOXX 600 Chemicals (DE),DE0006344732,2.95303815,4.673123379,-0.3680804227702801,0.000136773475779185
iShares DJ STOXX 600 Chemicals Swap (DE),DE000A0D8Q80,0.00531328,0.52393,-0.9898587979310213,2.4609088554715357e-07
iShares DJ STOXX 600 Construction & Materials (DE),DE0006344740,2.8520942000000002,4.03375198,-0.2929425968326391,0.0001320981366202987
