XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Monthly turnover report: October 2009,,,,,,,
,,,,,,,
,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,XLM,AuM
,,10/2009,09/2009,Change (%),Market Share,"€ 100,000 round trip",in €m
db x-trackers II EONIA TR Index ETF,LU0290358497,402.11902733200003,375.99566524299996,0.0694778278151611,0.027700969460476003,0.3185,1927.023616
db x-trackers II EONIA TRI ETF 1D,LU0335044896,16.152565397,8.889535887000001,0.8170313503792033,0.0011127096465425865,1.2296363636,135.161216
db x-trackers II Euro Inflation Swap 5 year TRI ETF,LU0426245436,0.46337236,0.03455065,12.411393418068833,3.1920557647701324e-05,17.3988636364,4.603139
db x-trackers II FED Funds Effective Rate TRI ETF,LU0321465469,4.841083019999999,0.6767202,6.153743925480574,0.0003334900459259547,42.8017272727,32.901666801303286
db x-trackers II Global Sovereign EUR Hedged Index ETF,LU0378818131,0.10414247,0.07503043,0.3880031075391679,7.174113098176607e-06,66.4405454545,16.187432
db x-trackers II iBoxx € Germany Covered TRI ETF,LU0321463506,11.553356966,27.586163513,-0.5811901513396209,0.0007958817333379028,15.5180909091,308.71408
db x-trackers II iBoxx € Inflation-Linked TR Index ETF,LU0290358224,14.475174813999999,10.260887884999999,0.4107136708082255,0.0009971584237584677,38.6716363636,157.653264
db x-trackers II iBoxx € Sovereigns Eurozone 10-15 TR Index ETF,LU0290357333,6.11681495,2.353670585,1.5988407167012286,0.0004213720132806288,19.8293181818,76.117536
db x-trackers II iBoxx € Sovereigns Eurozone 1-3 TR Index ETF,LU0290356871,59.644316924,71.607851535,-0.16707015159018612,0.0041087471353067105,3.6335,927.679616
db x-trackers II iBoxx € Sovereigns Eurozone 15+ TR Index ETF,LU0290357507,0.6986105,0.11655312,4.993923628985651,4.8125522071578565e-05,29.6659090909,17.235128
db x-trackers II iBoxx € Sovereigns Eurozone 25+ TR Index ETF,LU0290357846,0.48479595000000003,0.32080731,0.5111748856346199,3.3396374935585566e-05,34.1784090909,14.014528
db x-trackers II iBoxx € Sovereigns Eurozone 3-5 TR Index ETF,LU0290356954,16.302220928,10.800858287,0.5093449515601445,0.0011230190400605402,6.4083636364,773.975424
db x-trackers II iBoxx € Sovereigns Eurozone 5-7 TR Index ETF,LU0290357176,36.333573326,21.480262476,0.6914864688732587,0.0025029285775689473,10.1905,441.996288
db x-trackers II iBoxx € Sovereigns Eurozone 7-10 TR Index ETF,LU0290357259,12.388704752,8.68093208,0.4271168853563938,0.0008534267434867444,14.9561363636,236.334896
db x-trackers II iBoxx € Sovereigns Eurozone TR Index ETF,LU0290355717,48.242355845,42.21016377,0.14290852098724272,0.003323294684238921,12.3955909091,740.880448
db x-trackers II iBoxx Global Inflation-Linked TR Index Hedged ETF,LU0290357929,16.080602515,12.495026017999999,0.28696030659197636,0.0011077523044098452,54.8016363636,318.680128
db x-trackers II iTraxx Crossover 5-year Short TRI ETF,LU0321462870,9.8067759,54.26330209,-0.8192742512474696,0.0006755641520224427,37.7896363636,43.71602
db x-trackers II iTraxx Crossover 5-year TR Index ETF,LU0290359032,13.628661619999999,9.471963,0.4388423624543294,0.0009388442567058262,33.1605454545,94.547312
db x-trackers II iTraxx Europe 5-year Short TRI ETF,LU0321462102,8.89777627,0,,0.0006129454513922321,17.7420909091,27.88623
db x-trackers II iTraxx Europe 5-year TR Index ETF,LU0290358653,11.721414710000001,6.54314696,0.7914032470394035,0.0008074588090734833,17.6378636364,191.515232
db x-trackers II iTraxx Europe Senior Financials 5-year Short TRI ETF,LU0378819709,0.48975851000000004,0.38521099,0.2714032639619137,3.373823322545028e-05,22.3319545455,9.584331
db x-trackers II iTraxx Europe Senior Financials 5-year TRI ETF,LU0378819295,1.2036688500000001,0.0914345,12.164274425955194,8.291772283346242e-05,22.053,19.423064
db x-trackers II iTraxx Europe Subordinated Financials 5- year Short TRI ETF,LU0378819881,0.02000216,0,,1.3778985465566948e-06,36.0587727273,3.1392005
db x-trackers II iTraxx Europe Subordinated Financials 5- year TRI ETF,LU0378819378,0.024773299999999998,0.0125331,0.9766298840669905,1.7065703935681429e-06,34.6260909091,7.5633485
db x-trackers II iTraxx HiVol 5-year Short TRI ETF,LU0321462441,0.00381922,1.097376,-0.9965196796722363,2.630964699302605e-07,35.9562272727,4.67769
db x-trackers II iTraxx HiVol 5-year TR Index ETF,LU0290358737,1.607216775,3.59325034,-0.5527122735901557,0.00011071712546415178,34.0328181818,38.295292
db x-trackers II Short iBoxx € Sovereigns Eurozone TR Index ETF,LU0321463258,7.85841378,11.343590653000001,-0.307237538766289,0.0005413463808760206,13.0614545455,404.424448
db x-trackers II SONIA TRI ETR,LU0321464652,0.024148990000000002,0.07154545,-0.6624664461541578,1.663563246260012e-06,39.5565,14.212094490646807
db x-trackers LPX MM Private Equity ETF,LU0322250712,1.945453593,1.61355565,0.20569352101366944,0.00013401741002912684,168.266,18.95988
db x-trackers MSCI AC Asia ex Japan TRN Index ETF,LU0322252171,17.7831619,16.332779289999998,0.088801947558798,0.0012250373427266051,47.6990909091,153.294622613566
db x-trackers MSCI Brazil TRN Index ETF,LU0292109344,70.479890495,37.773362614,0.8658622271790528,0.004855182574008783,49.9399545455,179.9362145569109
db x-trackers MSCI EM Asia TRN Index ETF,LU0292107991,35.979785722,34.824026094,0.033188570008541696,0.002478557038428106,37.3552727273,367.7302528475645
db x-trackers MSCI EM EMEA TRN Index ETF,LU0292109005,3.798219164,8.246277234,-0.5394019560317878,0.0002616497751032581,35.7077727273,42.47649244688586
db x-trackers MSCI EM LATAM TRN Index ETF,LU0292108619,54.543175674000004,32.046033839,0.7020257779176715,0.0037573423313177717,58.1426818182,198.10435953361878
db x-trackers MSCI Emerging Markets TRN Index ETF,LU0292107645,141.302241912,82.95743972300001,0.7033100633748688,0.00973395642049395,29.1057727273,1929.0923876457443
db x-trackers MSCI Europe Mid Cap TRN Index ETF,LU0322253732,7.725504161999999,0.47194092,15.369642543392931,0.000532190571230182,18.6227272727,10.688502033012899
db x-trackers MSCI Europe Small Cap TRN Index ETF,LU0322253906,13.421481694,3.556022064,2.774296517975711,0.0009245721521475624,33.4699545455,182.27693136225326
db x-trackers MSCI Europe TRN Index ETF,LU0274209237,55.468698106,58.249159608,-0.047733933342758994,0.003821099246263878,20.7907727273,844.7642405148505
db x-trackers MSCI Japan TRN Index ETF,LU0274209740,26.871621932,20.249289618000002,0.32704022901194874,0.0018511185193860965,30.7118636364,336.3804076796726
db x-trackers MSCI Korea TRN Index ETF,LU0292100046,15.440277544,8.705993142999999,0.7735228239198262,0.001063641925987472,50.1614090909,85.34625306298302
db x-trackers MSCI Pacific ex Japan TRN Index ETF,LU0322252338,11.169830359999999,6.49598359,0.7194979336454881,0.0007694615490691426,29.9124545455,102.75404044483939
db x-trackers MSCI PAN-EURO TRN INDEX ETF,LU0412624271,2.1366000699999996,0,,0.00014718501057015503,20.6992727273,196.240576
db x-trackers MSCI Russia Capped Index ETF,LU0322252502,26.099783111,16.381173545,0.5932792018412134,0.0017979484822685085,68.8314090909,102.3452944502787
db x-trackers MSCI Taiwan TRN Index ETF,LU0292109187,21.025393565,19.025838874,0.10509679516588966,0.0014483865359539163,47.1475454545,79.62583945929936
db x-trackers MSCI USA TRN Index ETF,LU0274210672,19.318046648,44.565951259,-0.5665290181795736,0.00133077169658645,20.5699545455,884.9759969841398
db x-trackers MSCI World TRN Index ETF,LU0274208692,44.385947156,30.239769768,0.46780043289117956,0.0030576363789608053,21.1440454545,1202.020023157498
db x-trackers Quirin Wealth Management Total Return Index ETF,LU0397221945,6.67558596,7.90549042,-0.15557598512654947,0.0004598643442357365,90.7755454545,45.492372
db x-trackers Russell 2000 ETF,LU0322248658,4.41616699,3.87111103,0.1408009111017412,0.0003042186482296239,61.0170909091,81.80558472682232
db x-trackers S&P /ASX 200 ETF,LU0328474803,9.784783543,12.164977854,-0.19565956794712636,0.0006740491538049674,34.5239545455,66.53877871395808
db x-trackers S&P 500 Shariah ETF,LU0328475362,0.080745,0.5616643,-0.8562397503277314,5.562320176506953e-06,33.4725909091,4.67445169238226
db x-trackers S&P 500 Short ETF,LU0322251520,31.090108006,24.786532263999998,0.25431454770925455,0.0021417194259898964,27.8850454545,112.33253089910333
db x-trackers S&P CNX Nifty ETF,LU0292109690,9.460387713,5.601832461,0.6888023301059591,0.0006517023401275419,65.8572727273,157.24405310068127
db x-trackers S&P Europe 350 Shariah ETF,LU0328475107,0.613899,0.002314,264.2977528089887,4.228995967598541e-05,34.4281363636,4.8631445
db x-trackers S&P Global Infrastructure ETF,LU0322253229,4.412638046,2.28928264,0.9275199876586664,0.00030397554814400913,97.4963636364,58.204335299027925
db x-trackers S&P Japan 500 Shariah ETF,LU0328475289,0.0010545,0.001473,-0.2841140529531567,7.264185554680269e-08,187.367,3.489114293023131
db x-trackers S&P Select Frontier ETF,LU0328476410,0.754141451,0.723761396,0.04197523544071413,5.19509097632984e-05,541.748,12.117938982685732
db x-trackers S&P U.S. Carbon Efficient ETF,LU0411076002,0.049139300000000004,0.0050625,8.70652839506173,3.3850829134860133e-06,33.7382272727,1.8323370223766056
db x-trackers S&P/MIB Index ETF,LU0274212538,4.153609225,3.5903192799999997,0.15689132388248228,0.0002861317034806231,22.1879090909,22.82193
db x-trackers ShortDAX ETF,LU0292106241,869.770139322,674.824266846,0.28888390956528553,0.059916279582315,5.4291363636,799.333312
db x-trackers SLI ETF,LU0322248146,10.998969599999999,4.01968714,1.736275042539753,0.0007576913806039582,21.4956818182,9.664670952024732
db x-trackers SMI ETF,LU0274221281,41.65774177,11.432348515000001,2.643848131059185,0.00286969716459208,13.4857272727,169.04719145752927
