date,smb,hml
05/02/2010,-0.000200,0.000100
08/02/2010,0.000500,-0.003600
09/02/2010,0.003200,0.005700
10/02/2010,0.002600,0.003100
11/02/2010,0.007300,0.000500
12/02/2010,0.009900,0.001500
16/02/2010,-0.003100,0.010100
17/02/2010,0.000900,0.001200
18/02/2010,0.000900,0.000100
19/02/2010,0.000600,0.004800
22/02/2010,-0.000500,0.006000
23/02/2010,0.003200,-0.009400
24/02/2010,-0.003700,0.005400
25/02/2010,0.002200,0.002600
26/02/2010,-0.005700,0.004200
01/03/2010,0.012300,0.000400
02/03/2010,0.006200,0.001900
03/03/2010,0.001600,0.000900
04/03/2010,0.001100,0.002000
05/03/2010,0.004100,0.006300
08/03/2010,0.000900,0.003000
09/03/2010,0.002500,-0.000900
10/03/2010,0.000700,0.007100
11/03/2010,-0.000800,-0.000900
12/03/2010,0.000300,-0.002600
15/03/2010,-0.003200,-0.004500
16/03/2010,-0.001500,0.005700
17/03/2010,0.000600,0.003600
18/03/2010,-0.001600,-0.005700
19/03/2010,-0.006100,-0.006300
22/03/2010,0.008700,0.000400
23/03/2010,0.003400,0.003400
24/03/2010,-0.006300,0.008000
25/03/2010,-0.004600,-0.002500
26/03/2010,-0.001100,0.002600
29/03/2010,-0.001000,0.002000
30/03/2010,0.002900,-0.004500
31/03/2010,-0.005100,0.002000
01/04/2010,-0.000400,0.007900
05/04/2010,0.010400,0.008500
06/04/2010,0.002400,0.004800
07/04/2010,0.001900,0.002700
08/04/2010,-0.003000,0.003600
09/04/2010,-0.001400,0.001500
12/04/2010,0.002700,0.000700
13/04/2010,0.001600,-0.000700
14/04/2010,0.008700,0.014300
15/04/2010,0.005900,-0.000400
16/04/2010,0.008400,-0.018800
19/04/2010,-0.008700,-0.000400
20/04/2010,0.006500,0.005800
21/04/2010,0.007200,0.001800
22/04/2010,0.008000,0.005400
23/04/2010,0.003300,0.005900
26/04/2010,0.004900,-0.004000
27/04/2010,0.001200,-0.013500
28/04/2010,-0.007400,0.007000
29/04/2010,0.004300,0.005600
30/04/2010,-0.009700,-0.008800
03/05/2010,0.006200,0.006000
04/05/2010,-0.005600,-0.009200
